https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1561334400000,2019-06-24 00:00:00,BTC/USDC,10830.00000001,11099,10558.41398821,11019.50776566,2479341.03529243,228.46860335,0,0,0,10851.99891336
1561248000000,2019-06-23 00:00:00,BTC/USDC,10682,11282.43999997,10500,10830,4830215.02123583,447.33899796,0,0,0,10797.6613782
1561161600000,2019-06-22 00:00:00,BTC/USDC,10200.42773481,11213.79884639,10070.95233702,10681.7,10213206.03192686,954.08401565,0,0,0,10704.72397021
1561075200000,2019-06-21 00:00:00,BTC/USDC,9525.95446269,10200.4277348,9525.95446269,10200.4277348,3934822.37962615,400.04317569,0,0,0,9835.99425946
1560988800000,2019-06-20 00:00:00,BTC/USDC,9287.9447664,9600.62022191,9209.88824603,9530,2074959.24181308,219.9776167,0,0,0,9432.59261074
1560902400000,2019-06-19 00:00:00,BTC/USDC,9075,9333.33299998,9044.24102408,9298.33990742,2251211.00088186,246.00230803,0,0,0,9151.17837271
1560816000000,2019-06-18 00:00:00,BTC/USDC,9315,9369.61228813,8940,9074.99999999,2530306.9675181,277.49933914,0,0,0,9118.24502126
1560729600000,2019-06-17 00:00:00,BTC/USDC,8999.39893872,9467.99999999,8998.4108739,9315,3640665.74580202,392.54451984,0,0,0,9274.52954198
1560643200000,2019-06-16 00:00:00,BTC/USDC,8830.34315273,9398,8810,8999.39893872,5769495.33919881,634.38215696,0,0,0,9094.66837284
1560556800000,2019-06-15 00:00:00,BTC/USDC,8681.45807095,8891.35065637,8622.00000088,8850,1767385.18523215,202.23363704,0,0,0,8739.32354231
1560470400000,2019-06-14 00:00:00,BTC/USDC,8239.35493064,8722.00000088,8176.35538372,8719.99998989,3016421.04373907,356.78215455,0,0,0,8454.51770855
1560384000000,2019-06-13 00:00:00,BTC/USDC,8161.23444093,8330.99551585,8050,8230,3623874.70720446,440.83117613,0,0,0,8220.54995977
1560297600000,2019-06-12 00:00:00,BTC/USDC,7909.39352104,8265.47772252,7833.14776544,8168.24680199,1894043.3113454,234.27400498,0,0,0,8084.73527187
1560211200000,2019-06-11 00:00:00,BTC/USDC,8008.61807173,8049.99999997,7718.88762183,7929.59509522,1797429.73436417,227.37488047,0,0,0,7905.13767681
1560124800000,2019-06-10 00:00:00,BTC/USDC,7636.00000001,8077.47999788,7514.10788004,8008.61807173,3981475.69892589,511.46471432,0,0,0,7784.45821862
1560038400000,2019-06-09 00:00:00,BTC/USDC,7929.99999999,7959.99999999,7520.00000012,7636.00000005,1926543.88550317,249.67698037,0,0,0,7716.14540775
1559952000000,2019-06-08 00:00:00,BTC/USDC,8003.0881986,8056.52890355,7786,7919.8934211,1292658.30339475,163.21027063,0,0,0,7920.2019481
1559865600000,2019-06-07 00:00:00,BTC/USDC,7820,8132.11464247,7767.88654155,8003.08819861,2590535.31501337,324.21007898,0,0,0,7990.29852237
1559779200000,2019-06-06 00:00:00,BTC/USDC,7777.90630216,7869.99999997,7491.13991139,7806.10344412,1406042.72309542,181.70034274,0,0,0,7738.25025254
1559692800000,2019-06-05 00:00:00,BTC/USDC,7680.47244642,7940.59862949,7585.7176046,7785.53310227,2347673.00174908,301.75961766,0,0,0,7779.94424818
1559606400000,2019-06-04 00:00:00,BTC/USDC,8117.70913557,8117.70913558,7450.1,7675,6204050.41861477,793.46266456,0,0,0,7818.95695376
1559520000000,2019-06-03 00:00:00,BTC/USDC,8731.12,8738.12596076,8052.5445,8128.0830345,5270621.70447223,620.62388536,0,0,0,8492.45707231
1559433600000,2019-06-02 00:00:00,BTC/USDC,8560,8881.27494382,8560,8731.12000004,2092448.59952722,239.18371987,0,0,0,8748.29022922
1559347200000,2019-06-01 00:00:00,BTC/USDC,8561.24579838,8626.63062527,8456.58510322,8560.00000001,1006574.50644,117.75103934,0,0,0,8548.32799847
1559260800000,2019-05-31 00:00:00,BTC/USDC,8276.3261148,8595.96213942,8115.46649607,8564.04148598,3173443.57394726,379.96283748,0,0,0,8351.98409137
1559174400000,2019-05-30 00:00:00,BTC/USDC,8660,9090.90513455,7999.00000001,8276.32611479,7671757.69583712,896.01911981,0,0,0,8562.04686509
1559088000000,2019-05-29 00:00:00,BTC/USDC,8722.04838363,8771.9979075,8430.85643745,8660,4804742.58155459,555.94602375,0,0,0,8642.46235479
1559001600000,2019-05-28 00:00:00,BTC/USDC,8796.30193835,8826.04161911,8550,8729.61414253,4633309.88396731,531.39830896,0,0,0,8719.09038068
1558915200000,2019-05-27 00:00:00,BTC/USDC,8749.99999995,8940.98716829,8663.94539276,8795.00000002,8570723.32708478,974.49363817,0,0,0,8795.05313465
1558828800000,2019-05-26 00:00:00,BTC/USDC,8073,8790,7892.89,8751.8609463,7637204.10023472,900.25672254,0,0,0,8483.36247763
1558742400000,2019-05-25 00:00:00,BTC/USDC,8001.83069667,8145.99997998,7954.21,8072.99999999,1087143.50144801,135.15232431,0,0,0,8043.83873528
1558656000000,2019-05-24 00:00:00,BTC/USDC,7871.16010297,8188,7803.212,8001.83069668,3860294.71784337,481.69028158,0,0,0,8014.05979207
1558569600000,2019-05-23 00:00:00,BTC/USDC,7625,7965.19245,7475,7886.19109242,2516136.94466693,324.98559588,0,0,0,7742.30297147
1558483200000,2019-05-22 00:00:00,BTC/USDC,7938.88914441,8026.25313307,7506,7641.83052,3809088.12897173,486.35190368,0,0,0,7831.95891729
1558396800000,2019-05-21 00:00:00,BTC/USDC,8001.2000002,8087.78190363,7808.98544406,7938.8891443,3914651.69317078,491.87904039,0,0,0,7958.56576866
1558310400000,2019-05-20 00:00:00,BTC/USDC,8203.96522533,8203.96522533,7590,8001.2000002,5048193.38243054,639.4250551,0,0,0,7894.89454966
1558224000000,2019-05-19 00:00:00,BTC/USDC,7267,8293.21012345,7267,8200,7145269.76948308,901.74447947,0,0,0,7923.8297901
1558137600000,2019-05-18 00:00:00,BTC/USDC,7340.78235456,7500,7220,7266.28612343,3109716.39764717,424.12910189,0,0,0,7332.00429725
1558051200000,2019-05-17 00:00:00,BTC/USDC,7872.39063208,7930.90206081,6478.5,7374.61539428,10583706.31228753,1470.34524608,0,0,0,7198.1096552
1557964800000,2019-05-16 00:00:00,BTC/USDC,8200.00010038,8398.99999999,7598.15930796,7872.39063086,6067106.98932213,759.26522372,0,0,0,7990.76106712
1557878400000,2019-05-15 00:00:00,BTC/USDC,7992.9,8290,7857.68421494,8210.71564913,5214591.6176992,646.99533042,0,0,0,8059.70518259
1557792000000,2019-05-14 00:00:00,BTC/USDC,7819.37415329,8346.22222203,7623,7992.85,7360660.34021054,922.27390021,0,0,0,7980.99169729
1557705600000,2019-05-13 00:00:00,BTC/USDC,6975.64889846,8169.78902218,6873.72821695,7819.37415329,11162071.16122619,1448.6139692,0,0,0,7705.34552237
1557619200000,2019-05-12 00:00:00,BTC/USDC,7210.63300037,7582.18118357,6778.8892226,6985.45684567,8689540.03713307,1219.9890361,0,0,0,7122.63781067
1557532800000,2019-05-11 00:00:00,BTC/USDC,6352.15035414,7450,6352.15035414,7210.63300037,7659939.89868884,1110.09226337,0,0,0,6900.27320381
1557446400000,2019-05-10 00:00:00,BTC/USDC,6147.67999965,6430.00000002,6107.99857571,6344.99999979,4856014.84116201,771.55230868,0,0,0,6293.82452301
1557360000000,2019-05-09 00:00:00,BTC/USDC,5944.44150478,6165.26982592,5930.63919897,6147.89116487,2288442.84867544,378.50118737,0,0,0,6046.06517769
1557273600000,2019-05-08 00:00:00,BTC/USDC,5745.47616853,5975,5662.10563307,5937.88704429,1938123.33333193,332.54244916,0,0,0,5828.19828935
1557187200000,2019-05-07 00:00:00,BTC/USDC,5696.54467069,5959,5695.6295482,5745.47616853,2617086.73603433,447.21008155,0,0,0,5852.0298267
1557100800000,2019-05-06 00:00:00,BTC/USDC,5724.36789349,5746,5569.70102099,5679.43909771,1461206.87694739,258.68831753,0,0,0,5648.52286681
1557014400000,2019-05-05 00:00:00,BTC/USDC,5783.36578776,5783.36578776,5621.05429647,5726.78818296,859622.33053224,150.44108744,0,0,0,5714.01300775
1556928000000,2019-05-04 00:00:00,BTC/USDC,5667.12804112,5826.03512287,5523.27732753,5783.3667882,2716790.55384961,476.69164953,0,0,0,5699.26189503
1556841600000,2019-05-03 00:00:00,BTC/USDC,5388.13077724,5798,5366.03210906,5667.12604113,3131708.10243942,554.52041262,0,0,0,5647.59751159
1556755200000,2019-05-02 00:00:00,BTC/USDC,5331.21475472,5416.93362278,5308.57252541,5391.04844981,459642.77232038,85.62495183,0,0,0,5368.09379154
1556668800000,2019-05-01 00:00:00,BTC/USDC,5273.92946473,5359.1759014,5271.61438598,5333.43252072,1372582.50004099,258.21466188,0,0,0,5315.66445548
1556582400000,2019-04-30 00:00:00,BTC/USDC,5130.56701045,5290.00000523,5109.0147442,5271.33033368,1792398.31187973,344.69711535,0,0,0,5199.92257567
1556496000000,2019-04-29 00:00:00,BTC/USDC,5147.45177767,5180,5060.00000001,5149.99999996,1284633.28317874,250.23361512,0,0,0,5133.73585943
1556409600000,2019-04-28 00:00:00,BTC/USDC,5165.00900478,5210,5108.31147528,5147.45177767,887163.32512574,171.60430241,0,0,0,5169.81982774
1556323200000,2019-04-27 00:00:00,BTC/USDC,5145,5216.12572206,5109.00500011,5165.00000001,269438.82945614,52.13892635,0,0,0,5167.7095851
1556236800000,2019-04-26 00:00:00,BTC/USDC,5119.80000018,5275,5047.85515218,5145,3478241.94762896,676.73492717,0,0,0,5139.74055125
1556150400000,2019-04-25 00:00:00,BTC/USDC,5438.84108608,5504.01793181,5012,5119.80000018,4284903.22338962,827.90473343,0,0,0,5175.599378
1556064000000,2019-04-24 00:00:00,BTC/USDC,5533,5618,5380,5437,1902530.75702678,347.61076197,0,0,0,5473.16413981
1555977600000,2019-04-23 00:00:00,BTC/USDC,5392.99999975,5662.99,5368.67348444,5563.16239976,3711035.16475364,669.27639458,0,0,0,5544.8469344
1555891200000,2019-04-22 00:00:00,BTC/USDC,5309.73499344,5438.59836051,5260.02500123,5393.78999481,1378535.59293534,257.06660684,0,0,0,5362.56190518
1555804800000,2019-04-21 00:00:00,BTC/USDC,5329.99999997,5342.98841259,5200.62334545,5309.97099832,902869.17548213,171.35642021,0,0,0,5268.95446564
1555718400000,2019-04-20 00:00:00,BTC/USDC,5296.95399863,5361.41291263,5245.28802787,5329.98499798,456066.39185628,85.83807058,0,0,0,5313.10162
1555632000000,2019-04-19 00:00:00,BTC/USDC,5284.00000001,5338.99580865,5212.03088981,5296,571597.5690913,108.50991505,0,0,0,5267.69898241
1555545600000,2019-04-18 00:00:00,BTC/USDC,5222,5316.63370831,5222,5284,729767.89945023,138.10458305,0,0,0,5284.16858683
1555459200000,2019-04-17 00:00:00,BTC/USDC,5212.7011599,5258.08805771,5184.44,5233.66538835,582174.07565345,111.42815698,0,0,0,5224.65857312
1555372800000,2019-04-16 00:00:00,BTC/USDC,5034.00376052,5227.29744288,5018.34800883,5209.04595391,841811.45396617,164.0308051,0,0,0,5132.03269015
1555286400000,2019-04-15 00:00:00,BTC/USDC,5165.98086611,5192.00000011,4959.0685544,5034.00376052,1295891.38218186,254.20103322,0,0,0,5097.89974402
1555200000000,2019-04-14 00:00:00,BTC/USDC,5083.47622518,5181.997347,5001.91803875,5164.41305352,491475.09207204,96.57692519,0,0,0,5088.94946805
1555113600000,2019-04-13 00:00:00,BTC/USDC,5077.37000001,5122.26981918,5041.45804192,5083.50622695,413967.76923515,81.42033345,0,0,0,5084.32908211
1555027200000,2019-04-12 00:00:00,BTC/USDC,5040.50849892,5117.38056818,4899.99999999,5093.27199299,934889.51655317,186.06676085,0,0,0,5024.48428877
1554940800000,2019-04-11 00:00:00,BTC/USDC,5320.91957381,5350,4980,5069.28612126,3769199.90567684,732.88803597,0,0,0,5142.94096872
