https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1652187600000,2022-05-10 13:00:00,BTC/USD,32159.77,32354.15,29000.0,29258.68,4048.52594821,118454525.19037296
1652155200000,2022-05-10 04:00:00,BTC/USD,31328.7,32638.39,30170.0,31202.34,3333.36503537,104008789.17772676
1652101200000,2022-05-09 13:00:00,BTC/USD,32850.0,33394.45,29746.41,32159.77,5343.24810505,171837630.11134383
1652068800000,2022-05-09 04:00:00,BTC/USD,33553.73,33812.94,29746.41,31328.7,5271.456209,165147870.1348983
1652014800000,2022-05-08 13:00:00,BTC/USD,34619.53,34721.0,32626.19,32850.0,1852.79582914,60864342.987249
1651982400000,2022-05-08 04:00:00,BTC/USD,34479.62,34931.5,33267.08,33553.73,1256.01322024,42143928.4683635
1651928400000,2022-05-07 13:00:00,BTC/USD,36020.56,36068.77,34203.0,34619.53,1017.74190139,35233746.28742814
1651896000000,2022-05-07 04:00:00,BTC/USD,35792.55,36112.8,34203.0,34479.62,905.26839569,31213310.28140084
1651842000000,2022-05-06 13:00:00,BTC/USD,35813.29,36415.42,35253.86,36020.56,1054.42027231,37980808.68395869
1651809600000,2022-05-06 04:00:00,BTC/USD,36439.91,36529.99,35253.86,35792.55,1338.34126677,47902646.70792857
1651755600000,2022-05-05 13:00:00,BTC/USD,39494.61,39504.6,35585.01,35813.29,2319.2778891,83060971.63292614
1651723200000,2022-05-05 04:00:00,BTC/USD,39722.88,39824.27,35600.0,36439.91,2176.77993224,79321664.82063171
1651669200000,2022-05-04 13:00:00,BTC/USD,38960.26,40011.42,38607.18,39494.61,1100.93782128,43481109.8857033
1651636800000,2022-05-04 04:00:00,BTC/USD,38006.52,40011.42,37951.16,39722.88,1092.47884064,43396405.88928184
1651582800000,2022-05-03 13:00:00,BTC/USD,38430.0,39156.12,37516.78,38960.26,921.46021568,35900329.58254888
1651550400000,2022-05-03 04:00:00,BTC/USD,38475.81,38630.17,37516.78,38006.52,1159.43836649,44066217.464769505
1651496400000,2022-05-02 13:00:00,BTC/USD,38492.39,39175.0,38051.6,38430.0,1155.20571448,44394555.60746641
1651464000000,2022-05-02 04:00:00,BTC/USD,38666.89,39175.0,38051.6,38475.81,1054.18480838,40560614.39211529
